"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key","FP","FPPG","FPPM","MPG","FPR"
"Aaron Gordon","29","DEN","PF","7","7","212","37","70",".529","12","22",".545","25","48",".521",".614","22","26",".846","19","28","47","22","5","2","9","13","108","0","","aaron-gordon","162","23.1","0.76","30.3","17.7"
"Aaron Holiday","28","HOU","PG","8","0","73","11","22",".500","7","16",".438","4","6",".667",".659","5","7",".714","0","6","6","12","1","1","3","4","34","0","","aaron-holiday","47","5.9","0.64","9.1","3.8"
"Aaron Nesmith","25","IND","SF","6","6","136","19","36",".528","6","11",".545","13","25",".520",".611","11","13",".846","4","20","24","6","4","2","5","24","55","0","","aaron-nesmith","62","10.3","0.46","22.7","4.7"
"Aaron Wiggins","26","OKC","SG","14","5","305","53","116",".457","22","50",".440","31","66",".470",".552","9","11",".818","18","37","55","29","12","5","10","21","137","0","","aaron-wiggins","207","14.8","0.68","21.8","10.0"
"Adam Flagler","25","OKC","SG","6","0","15","3","5",".600","3","5",".600","0","0","",".900","0","0","","0","2","2","0","1","0","0","3","9","0","","adam-flagler","9","1.5","0.6","2.5","0.9"
"Adama Sanogo","22","CHI","C","3","0","14","3","5",".600","0","0","","3","5",".600",".600","0","0","","2","0","2","1","0","0","1","1","6","0","","adama-sanogo","7","2.3","0.5","4.7","1.2"
"Adem Bona","21","PHI","PF","10","0","34","5","6",".833","0","0","","5","6",".833",".833","1","1","1.000","5","8","13","0","0","3","2","5","11","0","","adem-bona","20","2.0","0.59","3.4","1.2"
"A.J. Green","25","MIL","SG","13","2","232","31","65",".477","29","62",".468","2","3",".667",".700","2","2","1.000","2","21","23","12","7","0","6","13","93","0","","aj-green","116","8.9","0.5","17.8","4.5"
"AJ Johnson","20","MIL","SG","4","0","8","1","3",".333","0","0","","1","3",".333",".333","0","0","","0","1","1","1","0","0","1","0","2","0","","aj-johnson","3","0.8","0.38","2.0","0.3"
"Ajay Mitchell","22","OKC","SG","14","0","224","30","61",".492","6","15",".400","24","46",".522",".541","7","9",".778","4","20","24","28","12","1","10","24","73","0","","ajay-mitchell","104","7.4","0.46","16.0","3.4"
"Al Horford","38","BOS","C","12","12","324","41","82",".500","27","60",".450","14","22",".636",".665","4","4","1.000","12","53","65","28","12","8","13","15","113","0","","al-horford","198","16.5","0.61","27.0","10.1"
